"ip_address","port","country_city","speed","type","anonymity","latest_update"
"5.78.82.19","8080"," United States Portland","720 ms","HTTP, HTTPS","no","13 minutes"
"162.212.156.132","8080"," United States ","1180 ms","HTTP, HTTPS","no","13 minutes"
"5.78.73.221","8080"," United States Portland","740 ms","HTTP, HTTPS","no","13 minutes"
"128.140.90.201","8080"," Germany ","180 ms","HTTP, HTTPS","no","13 minutes"
"65.109.231.34","8080"," Finland Helsinki","460 ms","HTTP, HTTPS","no","13 minutes"
"142.132.232.232","8080"," Germany ","180 ms","HTTP, HTTPS","no","13 minutes"
"8.219.97.248","80"," Singapore ","1320 ms","HTTP","High","13 minutes"
"20.210.113.32","80"," Japan Tokyo","1320 ms","HTTPS","High","14 minutes"
"135.181.152.79","8080"," Finland Helsinki","180 ms","HTTP, HTTPS","no","14 minutes"
"5.78.77.88","8080"," United States Portland","760 ms","HTTP, HTTPS","no","14 minutes"
"5.78.98.249","8080"," United States Portland","740 ms","HTTP, HTTPS","no","14 minutes"
"65.21.60.239","8080"," Finland Helsinki","180 ms","HTTP","no","14 minutes"
"95.217.10.97","8080"," Finland Helsinki","200 ms","HTTP","no","14 minutes"
"20.205.61.143","8123"," Hong Kong Central","1100 ms","HTTPS","High","14 minutes"
"65.109.169.37","8080"," Finland Helsinki","180 ms","HTTP, HTTPS","no","14 minutes"
